1,"Northrim Bank(Anchorage, AK)Type: Checking",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
2,"Wells Fargo(Anchorage, AK)Type: Savings",Bank Deposit,Self,"$50,001 - $100,000",Interest,None (or less than $201)
3,"First Bank(Ketchikan, AK)Type: IRA Cash Accounts",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
4,"First Bank(Ketchikan, AK)Type: Certificate of Deposit",Bank Deposit,Self,"$15,001 - $50,000",Interest,"$201 - $1,000"
5,"National Capital Bank(Washington, DC)Type: Checking",Bank Deposit,Self,"$100,001 - $250,000",Interest,None (or less than $201)
6,"First BankCompany: First Bank (Ketchikan, AK) Description: Bank",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000",Dividends,"$5,001 - $15,000"
7,State of Alaska Public Employee Retirement System (PERS),Retirement PlansDefined Benefit Pension Plan,Self,"$50,001 - $100,000",None,None (or less than $201)
8,SWVXX Schwab Value Advantage Money INV,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
9,NFRA - FlexShares STOXX Global Broad Infrastructure Index,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,"$1,001 - $2,500"
10,QAI - IQ Hedge MultiIQ Hedge Multi-Strategy Tracker ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,None (or less than $201)
11,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,"$201 - $1,000"
12,IEFA - iShares Core MSCI EAFE ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,"$201 - $1,000"
13,IJR - iShares Core S&P Small-Cap,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,"$201 - $1,000"
14,IJH - iShares Core S&P Mid-Cap,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,"$201 - $1,000"
15,BBRE - JPMorgan BetaBuilders MSCI U.S. REIT ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,"$201 - $1,000"
16,SHM - SPDR Nuveen Bloomberg Barclays Short Term Municipa,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
17,SPY - S&P 500 SPDR,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
18,VTIP - Short-Term Infl Protected Vanguard,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,None (or less than $201)
19,BND - Vanguard Total Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,"$1,001 - $2,500"
20,BNDX - Vanguard Total International Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000",Dividends,"$201 - $1,000"
21,VWEAX - Vanguard High-Yield Corporate Fund Admiral Share,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000",Dividends,"$1,001 - $2,500"
